isin,trade_date,is_reportable,reportability_reason,matched_mics
GB00BMV92D64,21/05/2025,Y,ACTIVE,FRAB|CHIX|STUD|AQXA|AQXD|SGMY|SGMX|BATF|EQTC|TRQM|TRQA|STUB|BNTW|TREU|LIQU|XPOL|XPAL|AQXE|CHID|BLOX|CHIO|BATP|BATD|BRFQ|LISX|TRQX|BATE|XLON|FRAV|XWAP
IE0000TZZ2B2,21/05/2025,Y,ACTIVE,STUF|HAMN|XPAL|XLON|DUSB|SGMV|SGMY|XGAT|SGMX|XPOL|XETU|FRAA|XPOS|STUD|BMTF|TWEM|TREU|STUB|DUSD|XPAC|BTFE|SGMU|ETFP|XMSM|FRAU|XETA
GB00BDR05C01,21/05/2025,Y,ACTIVE,XPAL|AQXD|AQXE|IMCE|BRFQ|TREU|SGMY|BLOX|AQXA|XEMB|TWEM|STUD|XETV|DUSB|TRQA|XETB|TPIR|CHIO|XWAP|XGAT|CHIX|XLON|XTXM|MUNB|STUB|STUF|LISX|XPOL|LIQU|TRQX|TRQM|SGMX|HAND|FRAV|BATF|BATE|BATD|HAMN|DUSD|EQTC|BATP|MUND|FRAB|CHID|HANB|BNTW
GB0001367019,21/05/2025,Y,ACTIVE,BATD|AQXA|TRQA|BATE|SGMY|BLOX|XWAP|TRQM|BNTW|HAND|FRAV|CHID|CHIX|DUSD|MUND|STUF|LIQU|TREU|HANB|EQTC|BATF|AQXE|TRQX|CHIO|SGMX|BATP|BRFQ|LISX|XPOL|XPAL|XLON|AQXD|IMCE|STUB|XTXM|FRAB|STUD|XGAT|TPIR|DUSB|HAMN
GB00BMV92D64,21/05/2025,Y,ACTIVE,FRAB|CHIX|STUD|AQXA|AQXD|SGMY|SGMX|BATF|EQTC|TRQM|TRQA|STUB|BNTW|TREU|LIQU|XPOL|XPAL|AQXE|CHID|BLOX|CHIO|BATP|BATD|BRFQ|LISX|TRQX|BATE|XLON|FRAV|XWAP
IE00B4ND3602,21/05/2025,Y,ACTIVE,STUF|EXSI|DUSD|TRQM|AQXE|MUND|BATD|RFQU|IMCE|AQXA|STUB|FRAA|XETA|JBUL|FRAU|HAMN|AQXD|TRQA|CHIX|BMTF|IMET|XWAP|XETU|MUNB|XGAT|BTFE|BATP|BATF|STUD|DUSB|BETA|TPIR|AQSN|CHID|AQST|LISX|HAND|BATE|XLON|CHIO|TWEM|TRQX|TREU
IE00B60SWT88,21/05/2025,Y,ACTIVE,CHIO|CHIX|XPAL|BATF|BATD|AQXA|SGMY|CHID|AQXE|XWAP|XPOL|BLOX|BRFQ|TWEM|XMSM|AQXD|BATP|SGMX|BTFE|XLON|BMTF|BNTW|TREU|LISX|BATE
IE00B3CNHG25,21/05/2025,Y,ACTIVE,AQXE|AQXD|DUSB|XAMS|XETA|XPAC|CEUD|AQEA|STUF|STUD|FRAU|BEUP|XPOS|FRAA|BNTW|XPOL|CHID|BATF|CHIO|XPAL|SGMX|BATD|IMET|AQXA|BMTF|AQEU|DUSD|STUB|HAND|ETFP|AQED|CEUX|LISZ|TWEM|MUND|BTFE|XGAT|XETU|HAMN|MUNB|CEUO|BRFQ|BLOX|TREU|SGMY|XLON|TRQA|BATP|TRQX|TRQM|LISX|XWAP|CHIX|BATE
IE000UL6CLP7,21/05/2025,Y,ACTIVE,AQEA|FRAA|XPAL|XETU|AQXE|AQXA|XMSM|ETFP|TREU|BTFE|BATP|XEMA|LISX|CHIO|XLON|CHID|BATE|BATD|FRAU|CEUO|DUSD|AQEU|AQED|AQXD|SGMV|SGMU|XPOL|SGMX|XPAC|XPOS|BMTF|SGMY|XETA|MUND|STUD|HAMN|MUNB|DUSB|XGAT|TWEM|HAND|STUB|STUF|BATF|CEUD|BEUP|LISZ|CHIX|CEUX|XWAP
GB0004559349,21/05/2025,Y,ACTIVE,AQXA|XPAL|TRQX|SGMX|BRFQ|BLOX|TRQM|BATE|BATP|XWAP|XLON|CHIO|BATF|TREU|LISX|AQXE|AQXD|XPOL|TRQA|SGMY|LIQU|TPIR|CHID|BATD|CHIX|BNTW
GB00BF7L8P11,21/05/2025,Y,ACTIVE,BNTW|XLON|CHID|SGMY|LISX|AQXD|AQXA|BRFQ|XPAL|LIQU|XPOL|TPIR|IMCE|TREU|XWAP|BLOX|BATE|CHIX|AQXE|BATP|SGMX|CHIO|TRQM|BATF|BATD|TRQA|TRQX
GB00BN7SWP63,21/05/2025,Y,ACTIVE,AQXE|AQXA|TWEM|EQTC|AQXD|XPAL|XETB|BRFQ|SGMX|CHIX|TRQM|FRAB|BLOX|XGAT|BATF|TRQX|AQEA|CHID|AQED|AQEU|DUSD|HAND|XEMB|FRAV|IMCE|BNTW|XPOL|STUD|HANB|MUNB|DUSB|HAMB|MUND|HAMN|XETV|TREU|LIQU|BATD|TRQA|BATP|CHIO|SGMY|LISX|BATE|STUB|STUF|XLON|XWAP|TPIR
GB00B2QPKJ12,21/05/2025,Y,ACTIVE,XPOL|FRAB|EQTC|STUD|TPIR|STUB|TRQM|AQXE|CHID|BATF|IMCE|LIQU|XPAL|DUSB|AQXD|MUND|MUNB|XGAT|HAMN|HANB|SGMY|HAND|SGMX|TREU|BLOX|STUF|LISX|BATP|CHIX|DUSD|FRAV|XLON|BATE|CHIO|XWAP|BATD|XTXM|TRQA|TRQX|BRFQ|AQXA|BNTW
IE00B3RBWM25,21/05/2025,Y,ACTIVE,AQSN|AQXE|XPOL|CEUO|STUB|HAND|SGMY|BATE|STUF|LISZ|CHIO|XPAL|XLON|BMTF|XETU|XMSM|XPOS|STUD|BTFE|AQEU|XETA|FRAU|XPAR|TREU|ETFP|CHID|DUSD|CEUD|MUNB|AQST|BATD|AQXD|AQXA|LISX|MUND|XWAP|SGMV|CEUX|TRQX|HAMN|AQED|XGAT|CHIX|DUSB|TRQA|FRAA|TRQM|BATF|SGMX|BATP|XAMS|EQTB|XPAC|JBUL|AQEA|SGMU|BEUP|TWEM|IMET
GB00BMWLM973,21/05/2025,Y,ACTIVE,FRAB|AIMX|DUSB|XPAL|XPOL|BLOX|FRAV|BRFQ|STUB|DUSD|STUD|BNTW
US35953D1046,21/05/2025,Y,ACTIVE,TPIR|IMCE
IE00BKM4GZ66,21/05/2025,Y,ACTIVE,TRQX|AQSN|XPOS|MUNB|AQXA|AQEA|AQXE|BMTF|AQED|AQST|HAMB|ETFP|XGAT|HAMN|STUD|XETA|BLOX|SGMV|XETU|LISZ|CHIX|BRFQ|CHIO|FRAU|IMCE|SGMX|TWEM|XLON|STUF|CEUO|DUSD|BEUP|XEMA|BETA|BATP|BATE|AQXD|TRQA|TRQM|FRAA|HANB|XAMS|XPAC|MUND|DUSB|BTFE|AQEU|TPIR|JBUL|BNTW|HAND|TREU|SGMU|STUB|SGMY|BATD|BATF|CEUX|XWAP|XPOL|IMET|CEUD|LISX|CHID|XPAL|LIQU
IE0007P4PBU1,21/05/2025,Y,ACTIVE,DUSD|STUD|BMTF|XETA|XEMA|SGMV|XPAC|MUNB|XETU|STUF|STUB|SGMU|MUND|CHIX|SGMY|BATP|BATF|BATE|CHID|TREU|BTFE|ETFP|TWEM|HAMN|XPOS|FRAA|DUSB|XGAT|HAND|FRAU|XWAP|SGMX|BATD|XPOL|LISX|XPAL|XLON|CHIO
LU1900066033,21/05/2025,Y,ACTIVE,STUB|XWAP|CHIO|EBLX|XPAC|CHIX|BRFQ|BNTW|BLOX|BEUP|ETFP|BATP|CHID|STUF|BTFE|AQXD|TREU|XETU|XPOL|TQEA|SGMU|MUNB|TRQA|BATE|TQEX|SGMX|XPAL|LISZ|SGMY|XETA|AQED|CEUD|FRAU|XPOS|SGMV|HAMN|XGAT|LISX|STUD|TRQX|AQXE|BATD|ERFQ|CEUX|FRAA|BATF|CEUO|TQEM|DUSB|XPAR|TWEM|MUND|DUSD|WBDM|XLON|TRQM|ENTW|AQXA|BMTF|AQEU|HAND|AQEA
IE00BKX55Q28,21/05/2025,Y,ACTIVE,XPOS|STUF|BATE|AQXA|XPAL|XETU|BATP|CHID|BMTF|HAND|MUNB|FRAU|TPIR|TWEM|TREU|BATD|FRAA|AQSN|STUB|DUSD|HAMN|CHIO|DUSB|AQXD|AQXE|XPAC|XLON|STUD|BATF|LISX|XETA|XWAP|XPOL|BTFE|XMSM|CHIX|XGAT|MUND|AQST|IMET
GB00B68FL050,21/05/2025,Y,ACTIVE,AQST|TWEM|XMSM|BTFE|AQSN|MUNB|BMTF|XLON|TREU
IE00B4ND3602,21/05/2025,Y,ACTIVE,STUF|EXSI|DUSD|TRQM|AQXE|MUND|BATD|RFQU|IMCE|AQXA|STUB|FRAA|XETA|JBUL|FRAU|HAMN|AQXD|TRQA|CHIX|BMTF|IMET|XWAP|XETU|MUNB|XGAT|BTFE|BATP|BATF|STUD|DUSB|BETA|TPIR|AQSN|CHID|AQST|LISX|HAND|BATE|XLON|CHIO|TWEM|TRQX|TREU
IE000UL6CLP7,21/05/2025,Y,ACTIVE,AQEA|FRAA|XPAL|XETU|AQXE|AQXA|XMSM|ETFP|TREU|BTFE|BATP|XEMA|LISX|CHIO|XLON|CHID|BATE|BATD|FRAU|CEUO|DUSD|AQEU|AQED|AQXD|SGMV|SGMU|XPOL|SGMX|XPAC|XPOS|BMTF|SGMY|XETA|MUND|STUD|HAMN|MUNB|DUSB|XGAT|TWEM|HAND|STUB|STUF|BATF|CEUD|BEUP|LISZ|CHIX|CEUX|XWAP
IE0002PG6CA6,21/05/2025,Y,ACTIVE,IMET|BATD|HAMN|MUNB|XETA|FRAA|CEUD|XLON|XGAT|LISZ|EBLX|XEMA|SGMV|SGMU|BMTF|TREU|TWEM|XMSM|XPAR|SGMY|CHIO|AQXE|BNTW|BATE|BTFE|CEUX|FRAU|BRFQ|ERFQ|CEUO|CHIX|MUND|STUD|BATF|ETFP|CHID|STUB|XPAC|XETU|XPOS|XPAL|XWAP|XPOL|DUSB|HAND|ENTW|BLOX|DUSD|SGMX|LISX|BEUP|BATP|STUF|AQXD|AQXA
IE00BKX55Q28,21/05/2025,Y,ACTIVE,XPOS|STUF|BATE|AQXA|XPAL|XETU|BATP|CHID|BMTF|HAND|MUNB|FRAU|TPIR|TWEM|TREU|BATD|FRAA|AQSN|STUB|DUSD|HAMN|CHIO|DUSB|AQXD|AQXE|XPAC|XLON|STUD|BATF|LISX|XETA|XWAP|XPOL|BTFE|XMSM|CHIX|XGAT|MUND|AQST|IMET
IE00BQQP9F84,21/05/2025,Y,ACTIVE,AQXE|AQXA|AQSN|LISX|XLON|XPOL|TREU|STUB|DUSD|AQST|FRAA|BATD|XMSM|XGAT|XETU|CEUO|HAND|CEUD|BATF|CEUX|XPAC|XETA|MUNB|FRAU|BATE|XEMA|BEUP|TWEM|IMET|TCDS|BARK|BMTF|BNTW|TPIR|BLOX|HAMN|XWAP|BART|XPAL|CHID|STUD|BTFE|SGMY|SGMV|SGMX|ETFP|BRFQ|CHIO|SGMU|STUF|XPOS|LISZ|BARO|MUND|CHIX|DUSB|BATP|XPAR|AQXD
GB00BLGZ9862,21/05/2025,Y,ACTIVE,XPOL|HAMB|HAMN|FRAB|TWEM|XETV|STUD|FRAV|TPIR|TRQM|XGAT|MUND|AQXA|SGMY|LIQU|AQXD|STUF|XETB|HANB|MUNB|LISX|CHIX|BATF|BNTW|CHIO|TREU|XPAL|STUB|EQTC|TRQA|AQXE|HAND|DUSB|TRQX|DUSD|BLOX|BRFQ|SGMX|XLON|IMCE|XWAP|BATD|CHID|BATP|BATE
IE00BFMXXD54,21/05/2025,Y,ACTIVE,FRAA|SGMY|SGMV|SGMU|XETA|HAND|BMTF|ETFP|XETU|CHIX|IMET|BATP|TWEM|XWAP|AQXE|HAMN|AQXD|AQST|BEUP|CEUD|DUSB|XMSM|XPAC|MUNB|AQSN|SGMX|TREU|BTFE|STUF|STUB|LISZ|BATF|FRAU|CEUX|LISX|CEUO|BATE|CHID|AQXA|XLON|DUSD|XPAL|CHIO|XPOS|XPOL|BATD|MUND|XGAT|STUD|TPIR
IE0003Z9E2Y3,21/05/2025,Y,ACTIVE,AQEU|TWEM|AQXE|AQXD|MUNB|HAND|XGAT|MUND|CEUO|LISZ|LISX|STUB|BATE|FRAU|BATF|AQED|AQXA|BMTF|FRAA|ETFP|XETA|XETU|DUSB|XMSM|HAMN|XPAC|STUD|BTFE|XPOS|BLOX|BRFQ|BNTW|TREU|STUF|CEUD|XWAP|XLON|CHIX|CHID|BATD|CEUX|CHIO|BEUP|BATP|XPOL|XPAL|DUSD|AQEA
IE000UL6CLP7,21/05/2025,Y,ACTIVE,AQEA|FRAA|XPAL|XETU|AQXE|AQXA|XMSM|ETFP|TREU|BTFE|BATP|XEMA|LISX|CHIO|XLON|CHID|BATE|BATD|FRAU|CEUO|DUSD|AQEU|AQED|AQXD|SGMV|SGMU|XPOL|SGMX|XPAC|XPOS|BMTF|SGMY|XETA|MUND|STUD|HAMN|MUNB|DUSB|XGAT|TWEM|HAND|STUB|STUF|BATF|CEUD|BEUP|LISZ|CHIX|CEUX|XWAP
IE00B4NCWG09,21/05/2025,Y,ACTIVE,HAMN|TREU|LISX|MUNB|DUSD|BATF|SGMX|AQSN|AQXA|TRQA|TWEM|XWAP|AQXD|TRQM|MUND|CHIX|AQXE|CHID|IMET|STUF|BMTF|HAND|STUB|TRQX|BATD|SGMY|XLON|STUD|TPIR|DUSB|AQST|XGAT|BATE|BTFE|BATP|CHIO
JE00B1VS3770,21/05/2025,Y,ACTIVE,AQXD|AQXA|AQXE|TWEM|TPIR|ETFP|LISZ|XWAP|CHIO|DUSD|BATD|TRQM|AQSN|STUD|XETA|XAMS|TQEM|CHID|CHIX|LISX|BATE|STUF|BEUP|MUND|FRAA|BATP|TRQX|AQST|CEUD|XETU|CEUX|AQED|TQEX|TQEA|XPAR|CEUO|FRAU|DUSB|XGAT|AQEA|AQEU|STUB|BTFE|HAMN|BMTF|MUNB|HAND|TRQA|BATF|TREU|XLON|IMET
IE00BKX55Q28,21/05/2025,Y,ACTIVE,XPOS|STUF|BATE|AQXA|XPAL|XETU|BATP|CHID|BMTF|HAND|MUNB|FRAU|TPIR|TWEM|TREU|BATD|FRAA|AQSN|STUB|DUSD|HAMN|CHIO|DUSB|AQXD|AQXE|XPAC|XLON|STUD|BATF|LISX|XETA|XWAP|XPOL|BTFE|XMSM|CHIX|XGAT|MUND|AQST|IMET
