fca_field_no,fca_field_name,xsd_element_path,flattened_csv_column,xsd_type,content_type,mandatory_new,repeating_group,repeating_logic,notes
1,Report status,Document/RptgTransactionType1,N/A,ReportingTransactionType1Code,NEWT or CANC,Y,N/A,N/A,"Message-level indicator; not in individual Tx elements. Determines whether report is new or cancellation."
2,Transaction Reference Number,Tx/TxId,Tx_TxId,Max25Text,ALPHANUM-52,Y,N/A,N/A,"Unique to executing firm; max 52 characters."
3,Trading venue transaction identification code,Tx/TradPlcMtchgId,Tx_TradPlcMtchgId,ESMA_AlphaNumericMax52_Pattern,ALPHANUM-52,N,N/A,N/A,"Generated by UK/Union trading venues; max 52 characters."
4,Executing entity identification code,ExctgPrsn/PartyIdentification/LEI,ExctgPrsn_PartyIdentification_LEI,LEIIdentifier,LEI,Y,N/A,N/A,"20-character LEI code; mandatory for all reports."
5,Investment Firm covered by Directive 2014/65/EU,ExctgPrsn/MiFIDInvestmentFirm,ExctgPrsn_MiFIDInvestmentFirm,TrueFalseIndicator,true or false,Y,N/A,N/A,"Derived from field 4; indicates if executing entity is MiFID firm."
6,Submitting entity identification code,SubmitgPty,SubmitgPty,LEIIdentifier,LEI,Y,N/A,N/A,"20-character LEI; submitting firm (executing firm, trading venue operator, or ARM)."
7,Buyer identification code,InvstmtDcsnPrsn/BuyrId,InvstmtDcsnPrsn_BuyrId,ExecutingParty1Choice__1 or PersonOrOrganisation1Choice__1,LEI or MIC or NIDN or INTC,Y,BUYER_GROUP,PARALLEL,"Pipe-delimited: BuyrId|BuyrId|... Grouping maintained via positional correspondence with fields 8-11."
8,Country of the branch for the buyer,InvstmtDcsnPrsn/BuyrCtryBrnch,InvstmtDcsnPrsn_BuyrCtryBrnch,CountryCode,COUNTRYCODE_2,N,BUYER_GROUP,PARALLEL,"Pipe-delimited; paired with field 7 (BuyrId). Position n corresponds to position n in field 7."
9,Buyer - first name(s),InvstmtDcsnPrsn/PersonIdentification10/Nm/Gvn,InvstmtDcsnPrsn_PersonIdentification10_Nm_Gvn,Max35Text,Text,N,BUYER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 7-8."
10,Buyer - surname(s),InvstmtDcsnPrsn/PersonIdentification10/Nm/Famy,InvstmtDcsnPrsn_PersonIdentification10_Nm_Famy,Max35Text,Text,N,BUYER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 7-9."
11,Buyer - date of birth,InvstmtDcsnPrsn/PersonIdentification10/DtOfBirth,InvstmtDcsnPrsn_PersonIdentification10_DtOfBirth,ISODate,YYYY-MM-DD,N,BUYER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 7-10. GROUP ANCHOR: BUYER_GROUP ends after field 11."
12,Buyer decision maker code,InvstmtDcsnPrsn/DcsnMkrId,InvstmtDcsnPrsn_DcsnMkrId,ExecutingParty1Choice__1 or PersonOrOrganisation2Choice__1,LEI or NIDN,N,BUYER_DECISION_GROUP,PARALLEL,"Pipe-delimited: DcsnMkrId|DcsnMkrId|... Grouping maintained via positional correspondence with fields 13-15."
13,Buy decision maker - First Name(s),InvstmtDcsnPrsn/PersonIdentification12/Nm/Gvn,InvstmtDcsnPrsn_PersonIdentification12_Nm_Gvn,Max35Text,Text,N,BUYER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in field 12."
14,Buy decision maker – Surname(s),InvstmtDcsnPrsn/PersonIdentification12/Nm/Famy,InvstmtDcsnPrsn_PersonIdentification12_Nm_Famy,Max35Text,Text,N,BUYER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 12-13."
15,Buy decision maker - Date of birth,InvstmtDcsnPrsn/PersonIdentification12/DtOfBirth,InvstmtDcsnPrsn_PersonIdentification12_DtOfBirth,ISODate,YYYY-MM-DD,N,BUYER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 12-14. GROUP ANCHOR: BUYER_DECISION_GROUP ends after field 15."
16,Seller identification code,InvstmtDcsnPrsn/SellrId,InvstmtDcsnPrsn_SellrId,ExecutingParty1Choice__1 or PersonOrOrganisation1Choice__1,LEI or MIC or NIDN or INTC,Y,SELLER_GROUP,PARALLEL,"Pipe-delimited mirror of field 7. Grouping maintained via positional correspondence with fields 17-20."
17,Country of the branch for the seller,InvstmtDcsnPrsn/SellrCtryBrnch,InvstmtDcsnPrsn_SellrCtryBrnch,CountryCode,COUNTRYCODE_2,N,SELLER_GROUP,PARALLEL,"Pipe-delimited; paired with field 16 (SellrId). Position n corresponds to position n in field 16."
18,Seller - first name(s),InvstmtDcsnPrsn/PersonIdentification10/Nm/Gvn,InvstmtDcsnPrsn_PersonIdentification10_Nm_Gvn_Sellr,Max35Text,Text,N,SELLER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 16-17."
19,Seller - surname(s),InvstmtDcsnPrsn/PersonIdentification10/Nm/Famy,InvstmtDcsnPrsn_PersonIdentification10_Nm_Famy_Sellr,Max35Text,Text,N,SELLER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 16-18."
20,Seller - date of birth,InvstmtDcsnPrsn/PersonIdentification10/DtOfBirth,InvstmtDcsnPrsn_PersonIdentification10_DtOfBirth_Sellr,ISODate,YYYY-MM-DD,N,SELLER_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 16-19. GROUP ANCHOR: SELLER_GROUP ends after field 20."
21,Seller decision maker code,InvstmtDcsnPrsn/DcsnMkrId,InvstmtDcsnPrsn_DcsnMkrId_Sellr,ExecutingParty1Choice__1 or PersonOrOrganisation2Choice__1,LEI or NIDN,N,SELLER_DECISION_GROUP,PARALLEL,"Pipe-delimited: DcsnMkrId|DcsnMkrId|... Grouping maintained via positional correspondence with fields 22-24."
22,Sell decision maker - First Name(s),InvstmtDcsnPrsn/PersonIdentification12/Nm/Gvn,InvstmtDcsnPrsn_PersonIdentification12_Nm_Gvn_Sellr,Max35Text,Text,N,SELLER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in field 21."
23,Sell decision maker – Surname(s),InvstmtDcsnPrsn/PersonIdentification12/Nm/Famy,InvstmtDcsnPrsn_PersonIdentification12_Nm_Famy_Sellr,Max35Text,Text,N,SELLER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 21-22."
24,Sell decision maker - Date of birth,InvstmtDcsnPrsn/PersonIdentification12/DtOfBirth,InvstmtDcsnPrsn_PersonIdentification12_DtOfBirth_Sellr,ISODate,YYYY-MM-DD,N,SELLER_DECISION_GROUP,PARALLEL,"Pipe-delimited; position n corresponds to position n in fields 21-23. GROUP ANCHOR: SELLER_DECISION_GROUP ends after field 24."
25,Transmission of order indicator,SecuritiesTransactionIndicator2/TrnsmttgOrdInd,SecuritiesTransactionIndicator2_TrnsmttgOrdInd,TrueFalseIndicator,true or false,Y,N,"Indicates if transmission conditions per Article 4 not satisfied."
26,Transmitting firm identification code for the buyer,SecuritiesTransactionTransmission2/TrnsmttgBuyr,SecuritiesTransactionTransmission2_TrnsmttgBuyr,LEIIdentifier,LEI,N,N,"20-character LEI; required when field 25=true and buyer transmits."
27,Transmitting firm identification code for the seller,SecuritiesTransactionTransmission2/TrnsmttgSellr,SecuritiesTransactionTransmission2_TrnsmttgSellr,LEIIdentifier,LEI,N,N,"20-character LEI; required when field 25=true and seller transmits."
28,Trading date time,Tx/TradDtTm,Tx_TradDtTm,ISONormalisedDateTime,YYYY-MM-DDThh:mm:ss.ssssssZ,Y,N,"Date and time transaction executed; min precision = seconds."
29,Trading capacity,Tx/TradgCpcy,Tx_TradgCpcy,RegulatoryTradingCapacity1Code,DEAL or MTCH or AOTC,Y,N,"DEAL=own account, MTCH=matched principal, AOTC=other."
30,Quantity,Tx/Qty,Tx_Qty,FinancialInstrumentQuantity25Choice,DECIMAL-18/5 or DECIMAL-18/17,Y,N,"Number of units or monetary/nominal value; max 18 digits (5 or 17 fraction)."
31,Quantity currency,Tx/Qty/Ccy,Tx_Qty_Ccy,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code; mandatory if field 30 is monetary/nominal value."
32,Derivative notional increase/decrease,Tx/DrvtvNtnlChg,Tx_DrvtvNtnlChg,VariationType1Code,INCR or DECR,N,N,"Indicator for derivative notional changes; INCR or DECR only."
33,Price,Tx/Pric,Tx_Pric,SecuritiesTransactionPrice4Choice__1,DECIMAL or PNDG or NOAP,Y,N,"Traded price excluding commission/accrued interest; can be PNDG (pending) or NOAP (not applicable)."
34,Price Currency,Tx/Pric/Ccy,Tx_Pric_Ccy,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code; mandatory if field 33 is monetary value."
35,Net amount,Tx/NetAmt,Tx_NetAmt,ImpliedCurrencyAndAmount,DECIMAL-18/5,N,N,"Calculated settlement amount; max 18 digits (5 fraction)."
36,Venue,Tx/TradVn,Tx_TradVn,MICIdentifier,MIC,Y,N,"4-character Market Identifier Code; XOFF for off-venue, XXXX for non-traded underlying."
37,Country of the branch membership,Tx/CtryOfBrnch,Tx_CtryOfBrnch,CountryCode,COUNTRYCODE_2,N,N,"2-letter country code of executing firm's branch or head office."
38,Up-front payment,Tx/UpFrntPmt/Amt,Tx_UpFrntPmt_Amt,AmountAndDirection53,DECIMAL-18/5,N,N,"Monetary value of up-front payment; positive=seller receives, negative=seller pays."
39,Up-front payment currency,Tx/UpFrntPmt/Ccy,Tx_UpFrntPmt_Ccy,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code; mandatory if field 38 populated."
40,Complex trade component id,Tx/CmplxTradCmpntId,Tx_CmplxTradCmpntId,ESMA_AlphaNumericCapitalLettersMax35_Pattern,ALPHANUM-35,N,N,"Internal firm identifier for combination transactions; max 35 chars, capital letters and numbers."
41,Instrument identification code,FinInstrm/Isin,FinInstrm_Isin,ISINOct2015Identifier,ISIN,N,N,"12-character ISIN code; mandatory for venue-traded or SI transactions."
42,Instrument full name,FinInstrm/Nm,FinInstrm_Nm,Max350Text,ALPHANUM-350,N,N,"Full name of instrument; max 350 chars; mandatory for OTC non-FIRDS instruments."
43,Instrument classification,FinInstrm/ClssfctnCD,FinInstrm_ClssfctnCD,CFIOct2015Identifier,CFI_CODE,N,N,"6-character CFI code; mandatory for OTC non-FIRDS instruments."
44,Notional currency 1,FinInstrm/NotlCcy1,FinInstrm_NotlCcy1,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code for notional (leg 1 of derivatives); optional for non-FIRDS."
45,Notional currency 2,FinInstrm/NotlCcy2,FinInstrm_NotlCcy2,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code for leg 2 (multi-currency swaps); optional for non-FIRDS."
46,Price multiplier,Tx/PricMltplr,Tx_PricMltplr,ESMA_NonNegativeExcludingZeroMax18,DECIMAL-18/17,N,N,"Units of underlying per contract (futures/options/index); max 18 digits (17 fraction). Mandatory for non-FIRDS derivatives."
47,Underlying instrument code,FinInstrm/UndrlygInstrm,FinInstrm_UndrlygInstrm,UnderlyingIdentification2Choice__1,ISIN,N,UNDERLYING_GROUP,PARALLEL,"Pipe-delimited: ISIN|ISIN|... for basket constituents. GROUP ANCHOR: UNDERLYING_GROUP ends after field 47."
48,Underlying index name,FinInstrm/UndrlygIndxNm,FinInstrm_UndrlygIndxNm,Max25Text or BenchmarkCurveName2Code,INDEX or ALPHANUM-25,N,N,"Name of index (if underlying is index); predefined list or custom name (max 25 chars)."
49,Term of the underlying index,FinInstrm/UndrlygIndxTrm,FinInstrm_UndrlygIndxTrm,InterestRateContractTerm2,INTEGER-3 + DAYS/WEEK/MNTH/YEAR,N,N,"Term of index (value + unit); e.g., '3MNTH' for 3 months."
50,Option type,FinInstrm/OptnTp,FinInstrm_OptnTp,OptionType2Code,PUTO or CALL or OTHR,N,N,"PUTO=put/floor, CALL=call/cap, OTHR=indeterminable; optional for non-FIRDS options."
51,Strike price,FinInstrm/StrkPric,FinInstrm_StrkPric,SecuritiesTransactionPrice4Choice__1,DECIMAL or PNDG,N,N,"Predetermined exercise price; can be PNDG (pending); optional for non-FIRDS options."
52,Strike price currency,FinInstrm/StrkPric/Ccy,FinInstrm_StrkPric_Ccy,ActiveOrHistoricCurrencyCode,CURRENCYCODE_3,N,N,"3-letter currency code; mandatory if field 51 is monetary value."
53,Option exercise style,FinInstrm/OptnExrcStyle,FinInstrm_OptnExrcStyle,OptionStyle7Code,EURO or AMER or ASIA or BERM or OTHR,N,N,"Exercise style: European, American, Asian, Bermudan, or other; optional for non-FIRDS."
54,Maturity date,FinInstrm/MatrtyDt,FinInstrm_MatrtyDt,ISODate,YYYY-MM-DD,N,N,"Debt instrument maturity date; optional for non-FIRDS."
55,Expiry date,FinInstrm/ExprtnDt,FinInstrm_ExprtnDt,ISODate,YYYY-MM-DD,N,N,"Derivative contract expiry date; optional for non-FIRDS."
56,Delivery type,FinInstrm/DlvryTp,FinInstrm_DlvryTp,PhysicalTransferType4Code,PHYS or CASH or OPTL,N,N,"Settlement method: PHYS=physical, CASH=cash, OPTL=optional/indeterminable. Mandatory for non-FIRDS derivatives."
57,Investment decision within firm,AddtlAttrbts/InvstmtDcsnPrsn,AddtlAttrbts_InvstmtDcsnPrsn,PersonIdentification10__1 or ALPHANUM-50,NIDN or ALPHANUM-50,Y,N,"Natural person ID (max 35 chars) or algorithm ID (max 50 chars capital letters/numbers)."
58,Country of the branch responsible for the person making the investment decision,AddtlAttrbts/InvstmtDcsnCtry,AddtlAttrbts_InvstmtDcsnCtry,CountryCode,COUNTRYCODE_2,N,N,"2-letter country code; mandatory if field 57 is natural person ID."
59,Execution within firm,AddtlAttrbts/ExctngPrsn,AddtlAttrbts_ExctngPrsn,PersonIdentification10__1 or ALPHANUM-50,NIDN or ALPHANUM-50 or CLIENT,Y,N,"Natural person ID (max 35 chars), algorithm ID (max 50 chars), or 'CLIENT'."
60,Country of the branch supervising the person responsible for the execution,AddtlAttrbts/ExctngCtry,AddtlAttrbts_ExctngCtry,CountryCode,COUNTRYCODE_2,N,N,"2-letter country code; mandatory if field 59 is natural person ID."
61,Waiver indicator,AddtlAttrbts/WvrInd,AddtlAttrbts_WvrInd,ReportingWaiverType1Code,RFPT or NLIQ or OILQ or PRIC or SIZE,N,N,"Pre-trade waiver type: equity (RFPT, NLIQ, OILQ, PRIC) or non-equity (SIZE)."
62,Reporting waiver type additional,AddtlAttrbts/RptgWvrTpAddtnl,AddtlAttrbts_RptgWvrTpAddtnl,ReportingWaiverType3Code,ALPHANUM-4,N,N,"Additional waiver type code (proprietary); max 4 alphanumeric characters."
